评论者,评论内容,评分,评论时间,产品型号,地区
c***7,好,5,2024-02-29 13:34:42,六年窖头曲 52度500mL 单瓶,北京
j***7,包装 设计 包装 厚实 物流 速度 物流 第二天 香型 口感 没喝 服务 京东 旗舰店 假 好评,5,2024-02-28 20:53:13,六年窖头曲 52度500mL 整箱,江苏
没***阳,礼盒 很漂亮 送人 棒,5,2024-02-27 18:02:12,52度 500mL 2瓶 龙行大运礼盒,广东
a***a,包装 精美 走亲访友 不二之选,5,2024-02-27 12:48:33,52度 500mL 2瓶 龙行大运礼盒,新疆
快***T,请客 喝酒 合适 酒 巴适,5,2024-02-26 00:00:04,六年窖头曲 52度500mL 整箱,四川
刘***伙,京东 商城 购物 服务 好 物流 快 质量 可靠 希望 京东 越做越 好,5,2024-02-24 18:47:07,52度 500mL 2瓶 龙行大运礼盒,广东
j***3,包装 设计 包装 简陋 手提袋 子 陋 搞好 一点 外观 香型 口感 口感 甜 酒花 不错 服务 服务 物流 速度 物流 快 京东 物流,4,2024-02-24 11:45:09,52度 1L 6瓶 蓝花瓷头曲大容量,广东
u***c,礼盒 好看,5,2024-02-22 20:23:18,52度 500mL 2瓶 龙行大运礼盒,安徽
七***七,好,5,2024-02-22 14:50:08,六年窖头曲 52度500mL 整箱,四川
s***明,上头 平时 喝度 酒 脸色 几小予 台杯 这款 满脸 发热 通红 酱香 好喝,1,2024-02-21 19:34:27,六年窖头曲 52度500mL 单瓶,广东
k***o,好,5,2024-02-21 16:33:35,52度 500mL 2瓶 龙行大运礼盒,天津
爱***莫,购买 口感 值得 购买,5,2024-02-21 09:37:38,六年窖头曲 52度500mL 整箱,广东
虢***修,泸州老窖 这款 蓝瓷 礼盒 包装 大气 上档次 寓意 还好 好事成双 中国 喜欢 过节 收到 质量 寓意 礼物 会须 一饮 三百杯 干杯,5,2024-02-20 21:44:22,52度 500mL 2瓶 好事成双礼盒,浙江
j***s,包装 好 挺不错 购物,5,2024-02-19 19:52:48,52度 500mL 2瓶 龙行大运礼盒,河北
大***蘇,好,5,2024-02-19 17:33:31,六年窖头曲 52度500mL 单瓶,上海
黑***妈,老爸 开心 京东 物流 快,5,2024-02-19 08:02:22,六年窖头曲 52度500mL 整箱,广东
w***7,品牌 酒 苦苦 味道 喝酒 唱出来 苦味 垃圾 玩意 店 卖假 酒 早晚 倒闭 过年 坑 老百姓,1,2024-02-18 20:14:12,六年窖头曲 52度500mL 整箱,海外
喜***y,谁的心 事 旧 心事 香 樟树 叶子 长出 掉 旧 叶子 新 日子 长出 旧 日子 不肯 掉落,5,2024-02-18 19:19:41,52度 500mL 2瓶 龙行大运礼盒,广东
j***6,春节 卖 两箱 走亲戚 实用,5,2024-02-18 16:37:59,六年窖头曲 52度500mL 整箱,广东
u***5,看着 不错 送 袋子 打算 放 段时间 试试 味,5,2024-02-18 16:26:09,52度 1L 6瓶 蓝花瓷头曲大容量,广东
S***7,百年 泸州老窖 酒体 清香 顺口 家里 老人 喜欢,5,2024-02-15 10:43:22,六年窖头曲 52度500mL 整箱,河北
s***j,新年 采购 年货 包装 精美 大气 配送 速度 很快 两单 牌子 酒 口感 你家 好 入口 绵软 香气 浓郁 性价比 更高 回购 推荐 购买,5,2024-02-14 22:45:26,52度 500mL 2瓶 春节礼盒,辽宁
勇***6,包装 设计 包装 设计 好看 简约 大气 上档次 香型 口感 香味 浓郁 味道 口感 醇 浓厚 味道 服务 服务 服务态度 热 情 周到 细致 物流 速度 到家 速度 很快,5,2024-02-14 18:02:06,六年窖头曲 52度500mL 单瓶,河南
j***0,味道 不错 买过 几次 父亲 爱喝,5,2024-02-14 12:48:44,蓝花瓷头曲 52度500mL 礼盒,北京
P***i,好喝 老爸 老妈 喜欢,5,2024-02-14 11:47:38,52度 1L 6瓶 蓝花瓷头曲大容量,天津
j***s,口感 特棒 品牌 品鉴,5,2024-02-13 06:05:14,52度 500mL 6瓶 淡雅头曲,安徽
三***源,好,5,2024-02-13 03:20:37,52度 500mL 2瓶 龙行大运礼盒,四川
永***2,正品 泸州老窖 四川 老牌子 品牌 独特 醇香 口感 酒友 喜爱 酒 口感 口感 醇厚 不涩 窖 香 浓郁 好喝 这是 春节 期间 购买 第三 箱酒 送 亲朋好友 京东 购物 京东 快递 全国 遥遥领先 节假日 不休 快递 员 辛苦,5,2024-02-12 21:46:01,六年窖头曲 52度500mL 整箱,天津
j***n,买瓶 打开 瓶 瓶盖 子 黏住 不像 正规 厂家 生产 请客 打开 好 尴尬,1,2024-02-12 18:11:39,六年窖头曲 52度500mL 整箱,福建
c***t,这款 酒 性价比 高 相较 同价位 白酒 六年 窖 头曲 无论是 口感 品质 包装 优势 说 一款 物超所值 优质 白酒,5,2024-02-11 17:18:38,六年窖头曲 52度500mL 单瓶,四川
l***g,好,5,2024-02-11 09:40:08,六年窖头曲 52度500mL 整箱,辽宁
梦***8,龙年 惊喜 泸州老窖 老客户 老 粉丝 平时 泸州 系列 老爸 儿时 尝 不到 白酒 滋味 长大 白酒 魅力 头曲 一款 性价比 高 口碑 好 口粮 酒 希望 老 泸 放 活动 时不时 回购 逢年过节 开心 放心 花 省心 完 券 叠加 需 付款 一百四十 换购 一箱 感恩 泸州老窖 开心,5,2024-02-11 04:01:53,六年窖头曲 52度500mL 整箱,海南
j***s,泸州老窖 浓香型 白酒 收到 喝酒 最佳 选择 赶上 活动 价 优惠 四瓶 推荐 朋友 购买 口感 香型 度数 正好 实体店 便宜 送货上门 便易 京东 平台 购买 放心 一如既往 支持 京东 回购,5,2024-02-10 21:54:51,蓝花瓷头曲 52度500mL 礼盒,内蒙古
锋***海,好,5,2024-02-10 20:33:03,52度 500mL 2瓶 龙行大运礼盒,四川
0***a,款 商品 质量 好 完全符合 卖家 描述 对此 满意 特别 喜欢 设计 质感 超出 期望 卖家 发货 速度 快 包装 仔细 严实 物流 公司 服务态度 好 运送 速度 很快 这是 满意 购物 体验,5,2024-02-10 14:22:43,六年窖头曲 瑞兔呈祥 礼盒,黑龙江
w***7,泸州老窖 中国 著名 白酒 品牌 产品 酒香 浓郁 回味 悠长 著称 味道 描述 醇厚 绵柔且 甘冽 迷醉 感 泸州老窖 口感 赞誉 历史 悠久 被誉为 品味 人生 一种 方式 形容 浓香 幽雅 细腻 柔顺 中带 刚劲 风味 饮用 体验 愉悦 泸州老窖 产品线 包括 特曲 系列 特曲 醇和 净爽 口感 谷物 香味 推崇 泸州老窖 酒 一种 饮品 更是 一种 文化 情感 体现,5,2024-02-10 07:15:17,六年窖头曲 52度500mL 整箱,黑龙江
j***r,京东 物流 给力 隔天 到货 大年三十 配送 小哥 送到 家 小哥 送到 家 服务 好 酒 包装 不错 大箱子 外面 套 箱子 包装 完好 回头 尝尝 泸州老窖,5,2024-02-09 12:06:14,六年窖头曲 52度500mL 整箱,江苏
s***M,好,5,2024-02-09 11:08:58,六年窖头曲 52度500mL 整箱,四川
熊***c,礼盒 最新款 龙年 包装 高端 大气 送 分 酒器 酒杯 送礼 不错 口感 香醇 度数 合适 不辣口 性价比 高,5,2024-02-09 00:07:21,52度 500mL 2瓶 龙行大运礼盒,四川
董***臣,经典 老酒 好 物流 力,5,2024-02-08 22:45:06,52度 500mL 2瓶 蓝花瓷龙年礼盒,天津
只***吖,泸州老窖 好喝 牌子 值得 信赖 值得 购买 真 六年 窖龄 真 真的 粮食 好喝 太 好喝 粮食 味道 很纯 太帮 购买 真的 不错 好 很棒,5,2024-02-08 22:43:07,六年窖头曲 52度500mL 整箱,山东
j***t,好,5,2024-02-08 12:13:08,六年窖头曲 52度500mL 整箱,新疆
g***s,几年 过年 过节 长辈 送 酒 一箱 价格 实惠 口感 反馈 不错 家里人 讲究 奢侈 品质 物流 特别 快 京东 物流 送货上门,5,2024-02-08 00:35:24,六年窖头曲 52度500mL 整箱,安徽
抬***生,心得 这是 好评 模板 大佬 懒 不想 产品 写 好评 特意 写下 模板 评论 涨 积分 好评 重要性 妥妥 评论 赚 积分 下次 抵 现金 评论 字 积分 东西 这段话 复制粘贴 凑够 字数 n 次 网上 东西 棒棒 棒 东西 便宜 质量 好 物美价廉 放心 开心 感觉 上瘾 买买 停不下来 东西 品种 特别 划算 实惠 包装 好 损坏 支持 服务 超级 好用 好评 下次,5,2024-02-07 23:51:35,52度 500mL 2瓶 龙行大运礼盒,山东
j***m,好,5,2024-02-07 21:43:12,六年窖头曲 52度500mL 单瓶,山东
q***6,好,5,2024-02-07 12:15:31,52度 500mL 2瓶 龙行大运礼盒,湖南
j***l,满意 网购 京东 平台 服务态度 好 白酒 口感 不错 下次 还会 回购,5,2024-02-07 10:40:14,六年窖头曲 52度500mL 整箱,辽宁
j***a,泸州老窖 年头 曲 口感 醇厚 香气 浓郁 回味 悠长 酒体 清澈 透明 色泽 醇和 饮后 口齿 留香 余味无穷 一款 性价比 高 白酒 值得 推荐,5,2024-02-07 09:35:39,52度 500mL 2瓶 龙行大运礼盒,四川
